time,robot_id,x,y,vx,vy
2.2600,0,47.875551,38.738708,10.093295,-15.409339
2.2800,0,48.073949,38.427875,9.719929,-15.680593
2.3000,0,48.263293,38.111285,9.194563,-15.980195
2.3200,0,48.441432,37.788732,8.630547,-16.269776
2.3400,0,48.609270,37.460759,8.158905,-16.523612
2.3600,0,48.767703,37.127878,7.684414,-16.761827
2.3800,0,48.927514,36.801161,8.553511,-15.651607
2.4000,0,49.109154,36.501384,9.593910,-14.336973
2.4200,0,49.310638,36.227327,10.538557,-13.085670
2.4400,0,49.530032,35.976705,11.383113,-12.019342
2.4600,0,49.765264,35.744922,12.130647,-11.145186
2.4800,0,50.014575,35.536149,12.752472,-9.586687
2.5000,0,50.273240,35.364174,13.071731,-7.589467
2.5200,0,50.535803,35.233038,13.157434,-5.532665
2.5400,0,50.798440,35.142491,13.075393,-3.529930
2.5600,0,51.057759,35.091357,12.839208,-1.602477
2.5800,0,51.311404,35.077592,12.673840,0.010849
2.6000,0,51.570466,35.083941,13.218367,0.626698
2.6200,0,51.839696,35.102490,13.692664,1.227809
2.6400,0,52.117570,35.133376,14.078360,1.871587
2.6600,0,52.402145,35.177816,14.363164,2.580975
2.6800,0,52.691550,35.236775,14.567158,3.313190
2.7000,0,52.984828,35.309644,14.767150,3.945748
2.7200,0,53.282167,35.394081,14.952804,4.506358
2.7400,0,53.582158,35.490564,15.024745,5.159293
2.7600,0,53.882235,35.601122,14.959446,5.911248
2.7800,0,54.179564,35.727536,14.754685,6.736401
2.8000,0,54.475157,35.866837,14.871784,7.106720
2.8200,0,54.773968,36.012175,14.991473,7.445003
2.8400,0,55.074006,36.165424,14.993392,7.895902
2.8600,0,55.373237,36.328261,14.992515,8.275382
2.8800,0,55.675991,36.492556,15.267193,8.181825
2.9000,0,55.983239,36.656681,15.439833,8.257321
2.9200,0,56.293079,36.823492,15.556920,8.393430
2.9400,0,56.606646,36.989711,15.808714,8.199237
2.9600,0,56.925001,37.152303,16.011214,8.091919
2.9800,0,57.246393,37.314691,16.115241,8.167452
3.0000,0,57.569886,37.478249,16.255064,8.135599
3.0200,0,57.897185,37.638233,16.484435,7.813722
3.0400,0,58.229513,37.788682,16.746495,7.220341
3.0600,0,58.566770,37.928340,16.969983,6.788548
3.0800,0,58.907926,38.061706,17.139073,6.567586
3.1000,0,59.252260,38.191030,17.294024,6.358520
3.1200,0,59.599633,38.315971,17.441229,6.137350
3.1400,0,59.949789,38.436773,17.572211,5.945560
3.1600,0,60.302595,38.553094,17.712708,5.643360
3.1800,0,60.658360,38.660735,17.861957,5.103681
3.2000,0,61.016974,38.757645,17.997096,4.604679
3.2200,0,61.378153,38.844953,18.117179,4.098403
3.2400,0,61.741360,38.919780,18.194198,3.350326
3.2600,0,62.105806,38.979146,18.253600,2.619056
3.2800,0,62.471637,39.025996,18.305255,2.268116
3.3000,0,62.835733,39.079156,18.079447,3.085849
3.3200,0,63.195971,39.147224,17.991793,3.611814
3.3400,0,63.556796,39.218417,18.099042,3.393458
3.3600,0,63.919653,39.279846,18.172548,2.695402
3.3800,0,64.282880,39.324176,18.132320,1.707118
3.4000,0,64.645374,39.349858,18.149172,1.001266
3.4200,0,65.009411,39.367758,18.250055,0.763585
3.4400,0,65.375041,39.378631,18.303859,0.291786
3.4600,0,65.741248,39.378675,18.317443,-0.274158
3.4800,0,66.107973,39.368931,18.341280,-0.733367
3.5000,0,66.473602,39.346336,18.185380,-1.582293
3.5200,0,66.833426,39.303461,17.733874,-2.757170
3.5400,0,67.180789,39.234894,16.962913,-4.108399
3.5600,0,67.510891,39.139221,16.018148,-5.453954
3.5800,0,67.820417,39.017033,14.917247,-6.751727
3.6000,0,68.106983,38.869731,13.731552,-7.961828
3.6200,0,68.380326,38.706782,13.857177,-8.151248
3.6400,0,68.660557,38.542790,14.146342,-8.271905
3.6600,0,68.945451,38.375107,14.329749,-8.507723
3.6800,0,69.233665,38.202694,14.497207,-8.717146
3.7000,0,69.525430,38.026871,14.678481,-8.858901
3.7200,0,69.820706,37.848464,14.844603,-8.982222
3.7400,0,70.119168,37.667766,15.016179,-9.054589
3.7600,0,70.422303,37.488552,15.307291,-8.834335
3.7800,0,70.731335,37.314442,15.591429,-8.579889
3.8000,0,71.045816,37.145318,15.853251,-8.333595
